timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
320813707,0,0,0,1,0,0,0,0,0,0,1
321823525,0,0,0,1,0,0,0,0,0,0,1
322833257,0,0,0,1,0,0,0,0,0,0,1
323843054,0,0,0,1,0,0,0,0,0,0,1
324852745,0,0,0,1,0,0,0,0,0,0,1
325862665,0,0,0,1,0,0,0,0,0,0,1
326872240,0,0,0,1,0,0,0,0,0,0,1
327882192,0,0,0,1,0,0,0,0,0,0,1
328891775,0,0,0,1,0,0,0,0,0,0,1
329901599,0,0,0,1,0,0,0,0,0,0,1
330911261,0,0,0,1,0,0,0,0,0,0,1
331921013,0,0,0,1,0,0,0,0,0,0,1
332930908,0,0,0,1,0,0,0,0,0,0,1
333940510,0,0,0,1,0,0,0,0,0,0,1
334950271,0,0,0,1,0,0,0,0,0,0,1
335960073,0,0,0,1,0,0,0,0,0,0,1
336969810,0,0,0,1,0,0,0,0,0,0,1
337979565,0,0,0,1,0,0,0,0,0,0,1
338989301,0,0,0,1,0,0,0,0,0,0,1
339999158,0,0,0,1,0,0,0,0,0,0,1
341008869,0,0,0,1,0,0,0,0,0,0,1
342018572,0,0,0,1,0,0,0,0,0,0,1
343028354,0,0,0,1,0,0,0,0,0,0,1
344038085,0,0,0,1,0,0,0,0,0,0,1
345040454,0,0,0,1,0,0,0,0,0,0,1
346047728,0,0,0,1,0,0,0,0,0,0,1
347057361,0,0,0,1,0,0,0,0,0,0,1
348067160,0,0,0,1,0,0,0,0,0,0,1
349076853,0,0,0,1,0,0,0,0,0,0,1
350086628,0,0,0,1,0,0,0,0,0,0,1
351096384,0,0,0,1,0,0,0,0,0,0,1
352106357,0,0,0,1,0,0,0,0,0,0,1
353115881,0,0,0,1,0,0,0,0,0,0,1
354125653,0,0,0,1,0,0,0,0,0,0,1
355135421,0,0,0,1,0,0,0,0,0,0,1
356145145,0,0,0,1,0,0,0,0,0,0,1
357155070,0,0,0,1,0,0,0,0,0,0,1
